# form	sources — set aside by tools/build_lexicon.py, out of scope for a
# single-word speller and kept for whatever handles phrases later
электрондық ақпараттық ресурстар	kazdict
электрондық ақпараттық ресурстар мен ақпараттық жүйелердің мемлекеттік тіркелімі	kazdict
электрондық ақпараттық ресурстарды	kazdict
электрондық ақпараттық ресурстардың	kazdict
электрондық басылым	kazdict
электрондық есептегіш машина	kazdict
электрондық курс	kazdict
электрондық нысандағы құжат	kazdict
электрондық оқулық	kazdict
электрондық оқыту	kazdict
электрондық салық төлеуші	kazdict
электрондық сандық қолтаңба	kazdict
электрондық төлемдер жүйесі	kazdict
электрондық цифрлық қолтаңба құралдары	kazdict
электрондық қызмет көрсету	kazdict
электрондық құжат	kazdict
электрондық әкімдік	kazdict
электронный бизнес	kazdict
элементар бөлшек	kazdict
элементар бөлшектер	kazdict
элементке кіру	kazdict
элементорганикалық қосылыстар	kazdict
элементтер тобы	kazdict
элита теориясы	kazdict
элита-билік өкілдері	kazdict
элиталық сабақтастық	kazdict
элитарлық білім	kazdict
эмердженттік эволюция	kazdict
эмиссия бағасы	kazdict
эмиссиялық банк	kazdict
эмиссиялық даңғыл	kazdict
эмиссиялық орган	kazdict
эмиссиялық пайда	kazdict
эмиссиялық прима	kazdict
эмиссиялық салық	kazdict
эмоциялық екпін	kazdict
эмоциялық ес	kazdict
эмоциялық індет	kazdict
эмпирикалық зерттеулер	kazdict
эмпириялық және теориялық	kazdict
эмпириялық заң	kazdict
эн соф	kazdict
энгель қисығы	kazdict
эндоген айнымалы	kazdict
эндоген өсу теориясы	kazdict
эндокринді темірлер	kazdict
энергия сақтау заңы	kazdict
энергияның сақталу заңы	kazdict
энума элиш	kazdict
эолдық құбылыстар	kazdict
эпистемеологиялық релятивизм	kazdict
эпистолярлық әдебиет	kazdict
эспарцет дақылы	kazdict
эстетикалық сезімдер	kazdict
эстетикалық талғам	kazdict
эстимативтік құн	kazdict
эталон топтар	kazdict
эталондық тестілеу	kazdict
этикалық кодекс	kazdict
этикалық релятивизм	kazdict
этникалық азшылық	kazdict
этникалық геноцид	kazdict
этникалық стереотип	kazdict
этникалық қоғамдастық	kazdict
этно-ағартушылық кешендер	kazdict
этноконфессиялық қауымдастық	kazdict
этномәдени генофонд	kazdict
этномәдени сөздер	kazdict
этносаралық қарым-қатынас мәдениеті	kazdict
этностық кикілжің	kazdict
этностық мінез-қүлық	kazdict
этностық стереотиптер	kazdict
этностық топ	kazdict
этностық тұлfа	kazdict
этностық ұқсастыру	kazdict
этностық өзіндік сана	kazdict
эфес сомыны	kazdict
эфир майлары	kazdict
эффект заңы	kazdict
эфференттік жүйе	kazdict
эцп ашық кілті	kazdict
эцп түпнұсқалығын растау	kazdict
ювеналдық әділет	kazdict
юлиан календары	kazdict
юнкер мектебі	kazdict
я болмаса	kazdict
я бір	kazdict
я ма	kazdict
я сәт	kazdict
я ғой	kazdict
ядролық сынақ алаңы	kazdict
якорлық полис	kazdict
ян және инь	kazdict
яхта капитаны	kazdict
ігір де жоқ	kazdict
із аңдыды [бақты	kazdict
із аңдығыш	kazdict
із бақты	kazdict
із жасырды	kazdict
із жоғалтты	kazdict
із кескендей	kazdict
із кесті	kazdict
із кесу	kazdict
із кесуші	kazdict
із салды	kazdict
із суытпады	kazdict
із тартты	kazdict
із тастады	kazdict
із түсті	kazdict
із қалды	kazdict
із қуалады	kazdict
із-тозсыз жоқ болды	kazdict
із-түзі жоқ	kazdict
із. із құрғатпай	kazdict
ізге түспеді	kazdict
ізгілік көмек	kazdict
ізгілік пен зұлымдық	kazdict
іздеген мақсұты	kazdict
іздегенге сұраған	kazdict
ізей жер	kazdict
ізет етті	kazdict
ізет етті [көрсетті	kazdict
ізетке құрық бойламас	kazdict
ізшіл ит	kazdict
ізі жоғалу	kazdict
ізі суымады	kazdict
ізі суып кетті	kazdict
ізі тіктелу	kazdict
ізім-қайым жоғалды	kazdict
ізін ала барды [жүрді	kazdict
ізін аңду	kazdict
ізін пышақтау	kazdict
ізін сабақтау	kazdict
ізін шығарып алды	kazdict
ізіне еру	kazdict
ізіне түсті	kazdict
ізіне қайту	kazdict
ізінен адасты	kazdict
ізінен қиыс кетпеді	kazdict
ілбіс тон	kazdict
ілгергі уақытта	kazdict
ілгері басты	kazdict
ілгері басқан аяғы кейін кетті	kazdict
ілгері басқанның иті оттайды	kazdict
ілгері салым	kazdict
ілдал дау	kazdict
ілеспе аударма	kazdict
ілеспе газ	kazdict
ілеуде біреу	kazdict
ілме тікен	kazdict
ілме қосақ	kazdict
ілмек біз	kazdict
ілмектеп байлау	kazdict
ілмелеп тігу	kazdict
ілмелі жаулық	kazdict
ілмелі көйлек	kazdict
ілтипатқа алмады	kazdict
ілу i	kazdict
ілу ii	kazdict
ілуге салу	kazdict
ілуде біреу	kazdict
ілуде: ілуде бір	kazdict
ілік i	kazdict
ілік ii	kazdict
ілік болды	kazdict
ілік тақты	kazdict
ілік іздеді	kazdict
ілікке алынды	kazdict
ілім тон	kazdict
ілінісе кетті	kazdict
іліп алар	kazdict
іліп алды	kazdict
іліп алып кетеді	kazdict
іліп жалағандай	kazdict
іліп кетті	kazdict
іліп әкетті	kazdict
іліп-қақпай кісі	kazdict
ін аузын аңдыған мысықтай	kazdict
ін аузындағы суырдай шаншылу	kazdict
ін аузындағы суырша сілею	kazdict
ін түбіндегі аюдай гүж ету	kazdict
ін түбінен қараған жыландай	kazdict
ін қазды	kazdict
ін-тін жоқ	kazdict
інге кіргендей	kazdict
індалда қылу	kazdict
індігеш көз	kazdict
іннен шыққан суырдай	kazdict
іннен шыққан суырдай сопаю	kazdict
іншікте туған тышқандай	kazdict
інін суға алдырған суырдай	kazdict
ініне су құйды	kazdict
ірбіт шана	kazdict
ірбіт шапты	kazdict
ірбіт. ірбіт сандық	kazdict
ірге алдырмады	kazdict
ірге аударды	kazdict
ірге басар	kazdict
ірге басу	kazdict
ірге бау	kazdict
ірге бақты	kazdict
ірге бермеді	kazdict
ірге жау	kazdict
ірге көму	kazdict
ірге көру	kazdict
ірге көтерді	kazdict
ірге тасын қалады	kazdict
ірге тепті	kazdict
ірге қонды	kazdict
ірге. ірге киіз	kazdict
іргелестік бойынша ассоциация	kazdict
іргелі ел	kazdict
іргелі заң	kazdict
іргелі ғылыми зерттеулер	kazdict
іргелік қабат	kazdict
іргені алыс салды	kazdict
іргесі берік	kazdict
іргесі бүтін	kazdict
іргесі бұзылмасын	kazdict
іргесі сөгілді	kazdict
іргесі тимеген	kazdict
іргесі тимеген жер	kazdict
іргесі қаланды	kazdict
іргесімге келу	kazdict
іргесін аулақ салды	kazdict
іргесін ашып алды	kazdict
іргесін көтерді	kazdict
іргетас табаны	kazdict
іргі қанат	kazdict
ірдабанды арба	kazdict
іре жоқ	kazdict
іре тастап жүру	kazdict
ірей ағаш	kazdict
іреп сойды	kazdict
іреп қағу	kazdict
іркілдеген сабадай семіз	kazdict
іркіт пісу-	kazdict
іркіт құйған күбідей іркілдеу	kazdict
ірі i	kazdict
ірі ii	kazdict
ірі жүрді	kazdict
ірі калибрлі зеңбірек	kazdict
ірі. іріп тұр	kazdict
іріген ауыздан шіріген сөз шығады	kazdict
іріктеп алу	kazdict
ірілендіріп құрастыру	kazdict
ірімшікке май қонды	kazdict
іріткі салды	kazdict
іріңді түйін	kazdict
ірә басқа	kazdict
ірә болмаса	kazdict
іс /116	kazdict
іс i	kazdict
іс ii	kazdict
іс жемісті болсын	kazdict
іс жылжыды	kazdict
іс жүзінде	kazdict
іс жүргізді	kazdict
іс жүргізу жұмысы	kazdict
іс насырға айналды	kazdict
іс темір	kazdict
іс тындырды	kazdict
іс ілгері бассын	kazdict
іс ілгері болсын	kazdict
